Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
mul_hi-uchar3,6,2,15,1,4,8,4,2,1,12,0,15,1
masked_load_int8_with_bounds,2,16,27,1,16,18,3,1,1,3,0,56,1073741823
mul-basic-mixed-short-char-short-wide_pma,2,8,43,1,24,27,4,1,1,4,0,72,1073741823
convert-uint3-float3_rtz,7,3,38,1,27,29,6,1,2,8,0,63,67108863
convert-int4-float4,1,4,10,1,4,6,3,1,1,8,0,12,7
scaleWarpWithSeparateBounds,20,12,139,3,104,117,18,1,1,12,0,249,2147483647
convert-float2-ushort2_rtz,1,2,6,1,2,4,3,1,1,8,0,6,1
clamp-ushort,3,1,9,1,2,6,4,1,1,12,0,8,0
mul24-uint16,4,8,86,1,48,54,3,2,1,0,0,176,2147483647
native_log10-float8,2,8,27,1,16,18,4,1,1,3,16,40,16383
convert-uchar8-float8_rtz,1,4,14,1,8,10,3,1,1,8,0,20,127
max-char,2,1,8,1,3,6,4,1,1,3,0,7,0
convert-uint4-uchar4,1,4,6,1,0,2,2,1,1,3,0,8,7
step_scalar-float16,4,32,71,1,48,53,4,2,1,8,0,145,2147483647
add_sat-uchar,4,2,11,1,4,7,5,1,1,3,0,11,1
add-wide-interlace-1d-int_pma,3,8,29,1,16,19,3,2,1,4,0,56,268435455
fp_mad-const,5,4,18,1,4,8,3,1,1,12,0,24,127
pma_acopy_3D1_uint,2,8,19,1,8,10,3,1,1,12,0,32,16383
all-int3,2,3,9,1,3,5,4,1,1,3,0,10,3
cmp-basic-uchar16-1_pma,10,8,35,1,16,18,4,1,1,10,0,48,16383
convert-ushort4-char4,1,2,4,1,0,2,2,1,1,12,0,4,1
mad_sat-short16,5,16,94,1,64,68,6,1,1,15,0,168,2147483647
rhadd-short16,3,16,68,1,48,51,4,1,1,12,0,112,2147483647
iv-select-acc-eq-idx-innerLoop-ver2-nonNeutral-i16,3,2,8,3,3,8,4,1,1,3,0,8,1
smoothstep-float,5,2,18,1,9,13,8,1,1,3,1,19,3
rotate-char4,3,4,26,1,18,21,6,1,1,12,0,34,511
rotate-char2,3,2,15,1,9,12,6,1,1,12,0,17,7
rotate-char3,3,4,26,1,18,21,6,1,1,12,0,34,511
store-23-bytes,13,7,68,1,47,49,5,1,1,100,3,110,2147483647
rotate-char8,3,8,48,1,36,39,6,1,1,8,0,68,2097151
max-uchar8,2,4,19,1,8,11,3,1,2,3,0,32,16383
max-uchar2,2,2,7,1,2,5,3,1,1,12,0,8,3
max-uchar3,4,2,12,1,3,7,3,2,1,8,0,14,7
max-uchar4,2,2,11,1,4,7,3,1,2,8,0,16,63
vecmem-copy-row-to-col_pma,3,1,5,1,0,4,1,3,0,15,0,2,-0.75
convert-float-char_rte,1,1,4,1,1,3,3,1,1,8,0,3,0
convert-uchar16-char16,1,7,9,1,0,2,2,1,1,8,0,14,63
convert-float8-int8_rtz,1,8,18,1,8,10,3,1,1,8,0,24,127
racc-char2_pma,1,1,4,2,1,4,3,1,1,3,0,3,0
convert-short4-ushort4,1,2,4,1,0,2,2,1,1,8,0,4,1
convert-float8-int8_rtp,1,8,18,1,8,10,3,1,1,8,0,24,127
clamp-short8_scalar,3,8,26,1,16,20,4,1,1,8,0,46,2097151
convert-float8-int8_rtn,1,8,18,1,8,10,3,1,1,8,0,24,127
convert-float8-int8_rte,1,8,18,1,8,10,3,1,1,15,0,24,127
convert-short2-float2,1,2,5,1,2,4,3,1,1,8,0,5,1
add_low_rshift_sat_pos_b_ui,3,2,10,1,2,6,3,1,1,12,0,12,7
convert-uint4-short4,1,4,6,1,0,2,2,1,1,8,0,8,7
masked_store_splat_combined_with_bounds,2,4,27,2,16,23,4,1,1,0,0,48,4194303
convert-float16-char16,2,8,35,1,16,19,3,1,1,12,0,48,16383
add_sat-uint2,3,2,14,1,6,9,4,1,1,8,0,18,31
add_sat-uint3,3,3,19,1,9,12,4,1,1,12,0,27,511
masked_store_splat_scalar,5,3,15,2,7,11,6,1,1,8,0,19,31
add_sat-uint4,3,4,24,1,12,15,4,1,1,12,0,36,8191
add_sat-uint8,3,8,44,1,24,27,4,1,1,8,0,72,536870911
log2-float8,1,8,18,1,8,10,3,1,1,12,8,24,127
convert-float4-uchar4_rtz,1,4,10,1,4,6,3,1,1,7,0,12,7
convert-float3-uchar3_rtp,1,3,8,1,3,5,3,1,1,15,0,9,3
mul24-uint,2,3,8,1,3,6,3,1,1,15,0,11,15
convert-float4-uchar4_rtp,1,4,10,1,4,6,3,1,1,15,0,12,7
max-short8,2,4,19,1,8,11,3,1,2,8,0,32,16383
convert-float4-uchar4_rtn,1,4,10,1,4,6,3,1,1,10,0,12,7
clamp-short16,3,8,60,1,32,36,4,1,1,15,0,104,2147483647
max-short2,2,2,7,1,2,5,3,1,1,12,0,8,3
convert-float4-uchar4_rte,1,4,10,1,4,6,3,1,1,7,0,12,7
max-short4,2,2,11,1,4,7,3,1,2,7,0,16,63
loop-1d-extra-dim_pma,2,8,27,1,8,11,3,1,1,4,0,40,16383
memcpy_3D,2,8,19,1,8,10,3,1,1,12,0,32,16383
masked_store_char16,2,8,19,1,8,10,3,1,1,8,0,32,16383
atan-float,1,1,4,1,1,3,3,1,1,14,1,3,0
clamp-short3,5,2,18,1,6,11,4,2,1,12,0,22,31
convert-ushort-int,3,1,5,1,0,3,2,2,1,15,0,3,-0.5
convert-char4-short4,1,2,6,1,2,4,3,1,1,0,0,6,1
vec_step-char,1,1,3,1,0,2,2,1,1,15,0,2,0
convert-float8-short8_sat_rtn,6,8,95,1,80,82,5,1,2,4,0,208,2147483647
native_cos-float3,2,3,9,1,3,5,3,1,1,0,3,12,15
store-1-byte-multi-dim,5,2,14,2,6,10,6,2,1,1,0,14,1
log2-mul-float4,2,4,15,1,4,7,3,1,1,7,4,20,63
convert-float3-uchar3_sat_rte,7,4,44,1,33,35,6,1,2,7,0,84,2147483647
max-int4,2,4,15,1,4,7,3,1,1,6,0,20,63
abs-short16,1,8,26,1,16,18,3,1,1,6,0,40,32767
convert-float-ushort,1,1,4,1,1,3,3,1,1,15,0,3,0
convert-float3-uchar3_sat_rtn,7,4,44,1,33,35,6,1,2,0,0,84,2147483647
convert-float8-short8_sat_rte,6,8,95,1,80,82,5,1,2,12,0,208,2147483647
convert-float3-uchar3_sat_rtp,7,4,44,1,33,35,6,1,2,6,0,84,2147483647
select-char4,3,2,20,1,10,14,4,1,1,8,0,28,511
convert-float3-uchar3_sat_rtz,7,4,44,1,33,35,6,1,2,6,0,84,2147483647
hadd-uint,2,1,6,1,1,4,3,1,1,15,0,5,0
rotate-ushort,3,2,12,1,6,9,5,1,1,6,0,14,7
convert-uchar8-char8,1,3,5,1,0,2,2,1,1,6,0,6,3
convert-uchar2-ushort2,1,1,4,1,1,3,3,1,1,6,0,3,0
convert-ushort16-uchar16,1,8,10,1,0,2,2,1,1,6,0,16,127
convert-int8-char8,1,8,10,1,0,2,2,1,1,6,0,16,127
shl-const-non-imm-mask-int_pma,2,4,11,1,4,6,3,1,1,12,0,16,63
convert-uint16-int16,2,8,20,1,0,4,2,2,1,6,0,32,8191
rotate-short,3,2,12,1,6,9,5,1,1,15,0,14,7
add_sat-short,4,3,11,1,4,7,4,1,1,15,0,14,15
convert-uint-short,1,1,3,1,0,2,2,1,1,6,0,2,0
clamp-uchar16_scalar,4,16,57,1,42,46,5,1,1,8,0,102,2147483647
gather-mode4-zext,3,8,37,1,20,24,7,1,1,8,0,56,1048575
convert-ushort16-float16_rte,1,8,27,1,16,19,3,2,1,0,0,40,16383
upsample-short16,3,16,37,1,16,20,3,2,2,6,0,80,2147483647
convert-ushort16-float16_rtn,1,8,27,1,16,19,3,2,1,0,0,40,16383
min-short8,2,4,19,1,8,11,3,1,2,8,0,32,16383
ashr-basic-char-1_pma,2,8,27,1,16,18,4,1,1,8,0,40,16383
hadd-uchar16,2,8,27,1,8,11,3,1,1,8,0,40,16383
mul_hi-char,3,1,10,1,4,7,5,1,1,0,0,9,0
store-1-byte-2D,5,2,13,2,6,9,6,1,1,7,0,13,1
min-short3,4,2,12,1,3,7,3,2,1,0,0,14,7
min-short2,2,2,7,1,2,5,3,1,1,0,0,8,3
min-short4,2,2,11,1,4,7,3,1,2,12,0,16,63
select-ushort,3,1,9,1,2,6,4,1,1,12,0,8,0
min-short16,2,8,35,1,16,19,3,1,2,3,0,64,1073741823
convert-float2-uint2,1,2,6,1,2,4,3,1,1,100,0,6,1
min-char,2,1,8,1,3,6,4,1,1,0,0,7,0
native_tan-float4,2,8,19,1,12,14,4,1,1,100,12,32,16383
clamp-int_scalar,3,1,9,1,2,6,4,1,1,12,0,8,0
clamp-char2_scalar,3,2,14,1,7,11,5,1,1,12,0,16,7
convert-ushort2-char2,1,1,3,1,0,2,2,1,1,12,0,2,0
copysign-float8,4,8,45,1,24,27,4,1,1,12,0,72,268435455
convert-float-uchar_sat_rtp,7,4,20,1,11,13,6,1,1,12,0,28,511
